	Genus	Species	Common name	Formatted name	Total	Protein_Coding																									
16	Serinus	canaria	House canary	CommonCanary	17380	15225																									
17	Melopsittacus	undulatus	Budgerigar	Budgerigar	16945	14568																									
18	Echinops	telfairi	Lesser hedgehog tenrec	LesserHedgehogTenrec	26079	16575																									
25	Bos	taurus	Domestic cattle	Cow	27607	21861																									
40	Sus	scrofa	Wild boar	Pig	25880	22342																									
49	Vulpes	vulpes	Red fox	RedFox	29258	20266																									
57	Panthera	tigris	Tiger	Tiger	22119	17544																									
75	Neovison	vison	American mink	AmericanMink	24526	19599																									
111	Pteropus	vampyrus	Large flying fox	Megabat	22194	16990																									
115	Myotis	lucifugus	Little brown bat	Microbat	25849	19728																									
121	Dasypus	novemcinctus	Nine-banded armadillo	Armadillo	33374	22711																									
140	Sarcophilus	harrisii	Tasmanian devil	TasmanianDevil	20456	18788																									
152	Monodelphis	domestica	Gray short-tailed opossum	Opossum	30369	21327																									
166	Phascolarctos	cinereus	Koala	Koala	25477	19832																									
173	Erinaceus	europaeus	Western European hedgehog	Hedgehog	22448	14601																									
176	Procavia	capensis	Rock hyrax	Hyrax	18897	16507																									
179	Oryctolagus	cuniculus	European rabbit	Rabbit	23669	19293																									
181	Ochotona	princeps	American pika	Pika	23065	16006																									
186	Ornithorhynchus	anatinus	Duck-billed platypus	Platypus	29776	21698																									
196	Choloepus	hoffmanni	Hoffmann's two-toed sloth	Sloth	16060	12393																									
202	Callithrix	jacchus	White-tufted-ear marmoset	Marmoset	29286	19563																									
212	Otolemur	garnettii	Small-eared galago	Bushbaby	28085	19506																									
213	Homo	sapiens	Human	Human	66832	22722																									
220	Carlito	syrichta	Philippine tarsier	Tarsier	24921	18304																									
225	Heterocephalus	glaber	Naked mole-rat	NakedMoleRatMale	32747	20742																									
228	Cavia	porcellus	Guinea pig	GuineaPig	26855	18095																									
232	Chinchilla	lanigera	Long-tailed chinchilla	LongTailedChinchilla	29261	17809																									
239	Mesocricetus	auratus	Golden hamster	GoldenHamster	22283	18257																									
243	Microtus	ochrogaster	Prairie vole	PrairieVole	23038	19130																									
253	Peromyscus	maniculatus	Deer mouse	NorthernAmericanDeerMouse	25394	21644																									
261	Jaculus	jaculus	Lesser Egyptian jerboa	LesserEgyptianJerboa	24433	17845																									
273	Dipodomys	ordii	Ord's kangaroo rat	KangarooRat	20542	16911																									
286	Meriones	unguiculatus	Mongolian jird	MongolianGerbil	25745	21116																									
290	Mus	musculus	House mouse	Mouse	56393	22250																									
294	Rattus	norvegicus	Norway rat	Rat	32883	22250																									
302	Octodon	degus	Degu	Degu	25903	19982																									
309	Ictidomys	tridecemlineatus	Thirteen-lined ground squirrel	Squirrel	25201	18474																									
329	Sorex	araneus	Eurasian shrew	Shrew	19134	13187																									
335	Sphenodon	punctatus	Tuatara	Tuatara	19334	17628																									
346	Chrysemys	picta	Painted turtle	PaintedTurtle	26817	21176																									
99	Lonchura	striata	White-rumped munia	BengaleseFinch	18255	15917																									
59	Gallus	gallus	Red junglefowl	Chicken	24356	16779																									
88	Junco	hyemalis	Dark-eyed junco	DarkEyedJunco	17477	14551																									
25	Anas	platyrhynchos	Mallard	Duck	25952	16616																									
96	Zonotrichia	albicollis	White-throated sparrow	WhiteThroatedSparrow	18252	13862																									
372	Equus	asinus	African wild ass	Donkey	22928	19922																									
379	Callithrix	jacchus	White-tufted-ear marmoset	Marmoset	29286	19563																									
