	Genus	Species	Common name	Formatted name	Total
16	Serinus	canaria	House canary	CommonCanary	17380
17	Melopsittacus	undulatus	Budgerigar	Budgerigar	16945
18	Echinops	telfairi	Lesser hedgehog tenrec	LesserHedgehogTenrec	26079
25	Bos	taurus	Domestic cattle	Cow	27607
40	Sus	scrofa	Wild boar	Pig	25880
49	Vulpes	vulpes	Red fox	RedFox	29258
57	Panthera	tigris	Tiger	Tiger	22119
75	Neovison	vison	American mink	AmericanMink	24526
111	Pteropus	vampyrus	Large flying fox	Megabat	22194
115	Myotis	lucifugus	Little brown bat	Microbat	25849
121	Dasypus	novemcinctus	Nine-banded armadillo	Armadillo	33374
140	Sarcophilus	harrisii	Tasmanian devil	TasmanianDevil	20456
152	Monodelphis	domestica	Gray short-tailed opossum	Opossum	30369
166	Phascolarctos	cinereus	Koala	Koala	25477
173	Erinaceus	europaeus	Western European hedgehog	Hedgehog	22448
176	Procavia	capensis	Rock hyrax	Hyrax	18897
179	Oryctolagus	cuniculus	European rabbit	Rabbit	23669
181	Ochotona	princeps	American pika	Pika	23065
186	Ornithorhynchus	anatinus	Duck-billed platypus	Platypus	29776
196	Choloepus	hoffmanni	Hoffmann's two-toed sloth	Sloth	16060
202	Callithrix	jacchus	White-tufted-ear marmoset	Marmoset	29286
212	Otolemur	garnettii	Small-eared galago	Bushbaby	28085
213	Homo	sapiens	Human	Human	66832
220	Carlito	syrichta	Philippine tarsier	Tarsier	24921
225	Heterocephalus	glaber	Naked mole-rat	NakedMoleRatMale	32747
228	Cavia	porcellus	Guinea pig	GuineaPig	26855
232	Chinchilla	lanigera	Long-tailed chinchilla	LongTailedChinchilla	29261
239	Mesocricetus	auratus	Golden hamster	GoldenHamster	22283
243	Microtus	ochrogaster	Prairie vole	PrairieVole	23038
253	Peromyscus	maniculatus	Deer mouse	NorthernAmericanDeerMouse	25394
261	Jaculus	jaculus	Lesser Egyptian jerboa	LesserEgyptianJerboa	24433
273	Dipodomys	ordii	Ord's kangaroo rat	KangarooRat	20542
286	Meriones	unguiculatus	Mongolian jird	MongolianGerbil	25745
290	Mus	musculus	House mouse	Mouse	56393
294	Rattus	norvegicus	Norway rat	Rat	32883
302	Octodon	degus	Degu	Degu	25903
309	Ictidomys	tridecemlineatus	Thirteen-lined ground squirrel	Squirrel	25201
329	Sorex	araneus	Eurasian shrew	Shrew	19134
335	Sphenodon	punctatus	Tuatara	Tuatara	19334
346	Chrysemys	picta	Painted turtle	PaintedTurtle	26817
