Name	Dataset
PinkFootedGoose	abrachyrhynchus_gene_ensembl
EasternHappy	acalliptera_gene_ensembl
AnoleLizard	acarolinensis_gene_ensembl
MidasCichlid	acitrinellus_gene_ensembl
GreatSpottedKiwi	ahaastii_gene_ensembl
Panda	amelanoleuca_gene_ensembl
MexicanTetra	amexicanus_gene_ensembl
Ma'SNightMonkey	anancymaae_gene_ensembl
ClownAnemonefish	aocellaris_gene_ensembl
LittleSpottedKiwi	aowenii_gene_ensembl
OrangeClownfish	apercula_gene_ensembl
Duck	aplatyrhynchos_gene_ensembl
SpinyChromis	apolyacanthus_gene_ensembl
OkaritoBrownKiwi	arowi_gene_ensembl
ClimbingPerch	atestudineus_gene_ensembl
AmericanBison	bbison_gene_ensembl
WildYak	bmutus_gene_ensembl
Cow	btaurus_gene_ensembl
AbingdonIslandGiantTortoise	cabingdonii_gene_ensembl
BrazilianGuineaPig	caperea_gene_ensembl
SootyMangabey	catys_gene_ensembl
PaintedTurtle	cbellii_gene_ensembl
BlueTit	ccaeruleus_gene_ensembl
AmericanBeaver	ccanadensis_gene_ensembl
Capuchin	ccapucinus_gene_ensembl
ChineseHamsterChok1Gs	cchok1gshd_gene_ensembl
ChineseHamsterCrigri	ccrigri_gene_ensembl
Dingo	cdingo_gene_ensembl
CaenorhabditisElegans	celegans_gene_ensembl
Dog	cfamiliaris_gene_ensembl
Goat	chircus_gene_ensembl
Sloth	choffmanni_gene_ensembl
C.Intestinalis	cintestinalis_gene_ensembl
Marmoset	cjacchus_gene_ensembl
JapaneseQuail	cjaponica_gene_ensembl
LongTailedChinchilla	clanigera_gene_ensembl
ElephantShark	cmilii_gene_ensembl
AngolaColobus	cpalliatus_gene_ensembl
ChineseHamsterPicr	cpicr_gene_ensembl
GuineaPig	cporcellus_gene_ensembl
AustralianSaltwaterCrocodile	cporosus_gene_ensembl
Ruff	cpugnax_gene_ensembl
SpoonBilledSandpiper	cpygmaea_gene_ensembl
VervetAgm	csabaeus_gene_ensembl
C.Savignyi	csavignyi_gene_ensembl
TongueSole	csemilaevis_gene_ensembl
Tarsier	csyrichta_gene_ensembl
SheepsheadMinnow	cvariegatus_gene_ensembl
DrosophilaMelanogaster	dmelanogaster_gene_ensembl
Emu	dnovaehollandiae_gene_ensembl
Armadillo	dnovemcinctus_gene_ensembl
KangarooRat	dordii_gene_ensembl
Zebrafish	drerio_gene_ensembl
Donkey	easinus_gene_ensembl
Hagfish	eburgeri_gene_ensembl
Horse	ecaballus_gene_ensembl
ElectricEel	eelectricus_gene_ensembl
Hedgehog	eeuropaeus_gene_ensembl
NorthernPike	elucius_gene_ensembl
LesserHedgehogTenrec	etelfairi_gene_ensembl
Flycatcher	falbicollis_gene_ensembl
Cat	fcatus_gene_ensembl
DamaraMoleRat	fdamarensis_gene_ensembl
Mummichog	fheteroclitus_gene_ensembl
